Ministère du Développement durable, de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-06-24
Station:        074701         Aguanish - à 1,4 km en amont de la Dany
Bassin versant: 5590 km²       Régime: Naturel
Coordonnées:    (NAD83) 50° 14' 51" // -62° 6' 60"
Date de création du fichier: 2012-06-30 04:40
Particularité(s):
-
-
-
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
MC: La donnée représente un débit moyen converti.
MJ: La donnée est une moyenne journalière.
P:  La donnée est provisoire.
PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
S:  La donnée est saisie manuellement.
Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.
Station        Date                Débit (m³/s)   Remarque
074701         1962/05/11          165.0          MC
074701         1962/05/12          174.0          MC
074701         1962/05/13          187.0          MC
074701         1962/05/14          208.0          MC
074701         1962/05/15          232.0          MC
074701         1962/05/16          246.0          MC
074701         1962/05/17          279.0          MC
074701         1962/05/18          337.0          MC
074701         1962/05/19          368.0          MC
074701         1962/05/20          484.0          MC
074701         1962/05/21          527.0          MC
074701         1962/05/22          555.0          MC
074701         1962/05/23          558.0          MC
074701         1962/05/24          541.0          MC
074701         1962/05/25          507.0          MC
074701         1962/05/26          484.0          MC
074701         1962/05/27          481.0          MC
074701         1962/05/28          493.0          MC
074701         1962/05/29          518.0          MC
074701         1962/05/30          555.0          MC
074701         1962/05/31          626.0          MC
074701         1962/06/01          677.0          MC
074701         1962/06/02          668.0          MC
074701         1962/06/03          629.0          MC
074701         1962/06/04          592.0          MC
074701         1962/06/05          555.0          MC
074701         1962/06/06          532.0          MC
074701         1962/06/07          513.0          MC
074701         1962/06/08          487.0          MC
074701         1962/06/09          462.0          MC
074701         1962/06/10          433.0          MC
074701         1962/06/11          402.0          MC
074701         1962/06/12          382.0          MC
074701         1962/06/13          360.0          MC
074701         1962/06/14          334.0          MC
074701         1962/06/15          309.0          MC
074701         1962/06/16          283.0          MC
074701         1962/06/17          263.0          MC
074701         1962/06/18          257.0          MC
074701         1962/06/19          251.0          MC
074701         1962/06/20          241.0          MC
074701         1962/06/21          225.0          MC
074701         1962/06/22          210.0          MC
074701         1962/06/23          196.0          MC
074701         1962/06/24          185.0          MC
074701         1962/06/25          180.0          MC
074701         1962/06/26          204.0          MC
074701         1962/06/27          208.0          MC
074701         1962/06/28          201.0          MC
074701         1962/06/29          189.0          MC
074701         1962/06/30          178.0          MC
074701         1962/07/01          170.0          MC
074701         1962/07/02          162.0          MC
074701         1962/07/03          155.0          MC
074701         1962/07/04          149.0          MC
074701         1962/07/05          152.0          MC
074701         1962/07/06          150.0          MC
074701         1962/07/07          145.0          MC
074701         1962/07/08          141.0          MC
074701         1962/07/09          137.0          MC
074701         1962/07/10          131.0          MC
074701         1962/07/11          124.0          MC
074701         1962/07/12          117.0          MC
074701         1962/07/13          111.0          MC
074701         1962/07/14          104.0          MC
074701         1962/07/15          98.30          MC
074701         1962/07/16          92.60          MC
074701         1962/07/17          86.40          MC
074701         1962/07/18          79.00          MC
074701         1962/07/19          77.30          MC
074701         1962/07/20          75.00          MC
074701         1962/07/21          72.50          MC
074701         1962/07/22          75.00          MC
074701         1962/07/23          79.00          MC
074701         1962/07/24          78.40          MC
074701         1962/07/25          80.70          MC
074701         1962/07/26          84.40          MC
074701         1962/07/27          83.80          MC
074701         1962/07/28          92.00          MC
074701         1962/07/29          102.0          MC
074701         1962/07/30          110.0          MC
074701         1962/07/31          116.0          MC
074701         1962/08/01          113.0          MC
074701         1962/08/02          114.0          MC
074701         1962/08/03          112.0          MC
074701         1962/08/04          107.0          MC
074701         1962/08/05          104.0          MC
074701         1962/08/06          100.0          MC
074701         1962/08/07          94.30          MC
074701         1962/08/08          92.90          MC
074701         1962/08/09          90.60          MC
074701         1962/08/10          85.00          MC
074701         1962/08/11          79.30          MC
074701         1962/08/12          74.20          MC
074701         1962/08/13          71.40          MC
074701         1962/08/14          67.10          MC
074701         1962/08/15          67.70          MC
074701         1962/08/16          64.80          MC
074701         1962/08/17          58.30          MC
074701         1962/08/18          54.90          MC
074701         1962/08/19          54.90          MC
074701         1962/08/20          55.20          MC
074701         1962/08/21          54.90          MC
074701         1962/08/22          51.80          MC
074701         1962/08/23          48.10          MC
074701         1962/08/24          45.60          MC
074701         1962/08/25          43.90          MC
074701         1962/08/26          42.80          MC
074701         1962/08/27          42.80          MC
074701         1962/08/28          42.50          MC
074701         1962/08/29          42.50          MC
074701         1962/08/30          39.90          MC
074701         1962/08/31          38.80          MC
074701         1962/09/01          38.50          MC
074701         1962/09/02          39.90          MC
074701         1962/09/03          40.20          MC
074701         1962/09/04          38.20          MC
074701         1962/09/05          38.50          MC
074701         1962/09/06          37.70          MC
074701         1962/09/07          36.50          MC
074701         1962/09/08          36.80          MC
074701         1962/09/09          36.00          MC
074701         1962/09/10          35.10          MC
074701         1962/09/11          34.50          MC
074701         1962/09/12          35.10          MC
074701         1962/09/13          36.80          MC
074701         1962/09/14          38.50          MC
074701         1962/09/15          42.50          MC
074701         1962/09/16          43.90          MC
074701         1962/09/17          41.90          MC
074701         1962/09/18          45.60          MC
074701         1962/09/19          76.20          MC
074701         1962/09/20          103.0          MC
074701         1962/09/21          107.0          MC
074701         1962/09/22          103.0          MC
074701         1962/09/23          95.70          MC
074701         1962/09/24          89.20          MC
074701         1962/09/25          84.40          MC
074701         1962/09/26          79.90          MC
074701         1962/09/27          75.30          MC
074701         1962/09/28          71.60          MC
074701         1962/09/29          67.70          MC
074701         1962/09/30          65.10          MC
074701         1962/10/01          62.90          MC
074701         1962/10/02          60.30          MC
074701         1962/10/03          57.20          MC
074701         1962/10/04          53.80          MC
074701         1962/10/05          50.10          MC
074701         1962/10/06          47.30          MC
074701         1962/10/07          45.00          MC
074701         1962/10/08          44.20          MC
074701         1962/10/09          42.20          MC
074701         1962/10/10          39.90          MC
074701         1962/10/11          37.90          MC
074701         1962/10/12          36.20          MC
074701         1962/10/13          35.40          MC
074701         1962/10/14          33.40          MC
074701         1962/10/15          31.40          MC
074701         1962/10/16          31.10          MC
074701         1962/10/17          31.10          MC
074701         1962/10/18          29.70          MC
074701         1962/10/19          28.60          MC
074701         1962/10/20          29.20          MC
074701         1962/10/21          31.10          MC
074701         1962/10/22          30.90          MC
074701         1962/10/23          32.60          MC
074701         1962/10/24          33.40          MC
074701         1962/10/25          41.60          MC
074701         1962/10/26          52.70          MC
074701         1962/10/27          56.90          MC
074701         1962/10/28          63.40          MC
074701         1962/10/29          66.80          MC
074701         1962/10/30          62.00          MC
074701         1962/10/31          50.40          MC
074701         1962/11/01          62.60          MC
074701         1962/11/02          176.0          MC
074701         1962/11/03          218.0          MC
074701         1962/11/04          195.0          MC
074701         1962/11/05          170.0          MC
074701         1962/11/06          157.0          R
074701         1962/11/07          136.0          R
074701         1962/11/08          116.0          R
074701         1962/11/09          114.0          R
074701         1962/11/10          112.0          R
074701         1962/11/11          121.0          R
074701         1962/11/12          126.0          R
074701         1962/11/13          90.90          R
074701         1962/11/14          87.50          R
074701         1962/11/15          103.0          R
074701         1962/11/16          110.0          R
074701         1962/11/17          114.0          R
074701         1962/11/18          96.00          R
074701         1962/11/19          81.00          R
074701         1962/11/20          65.10          R
074701         1962/11/21          52.10          R
074701         1962/11/22          74.80          R
074701         1962/11/23          148.0          R
074701         1962/11/24          165.0          R
074701         1962/11/25          160.0          R
074701         1962/11/26          136.0          R
074701         1962/11/27          124.0          R
074701         1962/11/28          118.0          R
074701         1962/11/29          112.0          R
074701         1962/11/30          105.0          R
074701         1962/12/01          99.10          R
074701         1962/12/02          92.90          R
074701         1962/12/03          83.00          R
074701         1962/12/04          78.20          R
074701         1962/12/05          75.00          R
074701         1962/12/06          72.20          R
074701         1962/12/07          79.30          R
074701         1962/12/08          88.30          R
074701         1962/12/09          100.0          R
074701         1962/12/10          108.0          R
074701         1962/12/11          129.0          R
074701         1962/12/12          142.0          R
074701         1962/12/13          119.0          R
074701         1962/12/14          105.0          R
074701         1962/12/15          96.30          R
074701         1962/12/16          89.20          R
074701         1962/12/17          83.50          R
074701         1962/12/18          77.90          R
074701         1962/12/19          73.60          R
074701         1962/12/20          69.40          R
074701         1962/12/21          64.30          R
074701         1962/12/22          60.30          R
074701         1962/12/23          56.90          R
074701         1962/12/24          54.40          R
074701         1962/12/25          51.30          R
074701         1962/12/26          50.10          R
074701         1962/12/27          48.10          R
074701         1962/12/28          47.00          R
074701         1962/12/29          45.90          R
074701         1962/12/30          45.60          R
074701         1962/12/31          45.60          R
074701         1963/01/01          49.80          R
074701         1963/01/02          51.50          R
074701         1963/01/03          51.80          R
074701         1963/01/04          51.00          R
074701         1963/01/05          50.40          R
074701         1963/01/06          49.30          R
074701         1963/01/07          48.10          R
074701         1963/01/08          47.60          R
074701         1963/01/09          46.70          R
074701         1963/01/10          45.90          R
074701         1963/01/11          45.30          R
074701         1963/01/12          44.70          R
074701         1963/01/13          43.90          R
074701         1963/01/14          43.30          R
074701         1963/01/15          43.00          R
074701         1963/01/16          42.50          R
074701         1963/01/17          42.50          R
074701         1963/01/18          41.90          R
074701         1963/01/19          41.60          R
074701         1963/01/20          40.50          R
074701         1963/01/21          40.20          R
074701         1963/01/22          39.90          R
074701         1963/01/23          39.90          R
074701         1963/01/24          39.60          R
074701         1963/01/25          39.60          R
074701         1963/01/26          39.60          R
074701         1963/01/27          39.40          R
074701         1963/01/28          39.10          R
074701         1963/01/29          38.50          R
074701         1963/01/30          37.90          R
074701         1963/01/31          37.70          R
074701         1963/02/01          37.40          R
074701         1963/02/02          37.10          R
074701         1963/02/03          37.10          R
074701         1963/02/04          36.80          R
074701         1963/02/05          36.80          R
074701         1963/02/06          36.50          R
074701         1963/02/07          36.00          R
