Ministère du Développement durable, de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2015-04-30, préliminaires par la suite
Station:        051002         Des Eaux Volées - à 0,2 km en amont du chemin du Belvédère
Bassin versant: 3.8 km²        Régime: Naturel
Coordonnées:    (NAD83) 47° 16' 18" // -71° 9' 44"
Date de création du fichier: 2016-02-14 18:10
Particularité(s):
-
-
-
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
MC: La donnée représente un débit moyen converti.
MJ: La donnée est une moyenne journalière.
P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
S:  La donnée est saisie manuellement.
Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.
Station        Date                Débit (m³/s)   Remarque
051002         1965/10/27          0.110          MC
051002         1965/10/28          0.110          MC
051002         1965/10/29          0.100          MC
051002         1965/10/30          0.100          MC
051002         1965/10/31          0.100          MC
051002         1965/11/01          0.100          MC
051002         1965/11/02          0.098          MC
051002         1965/11/03          0.090          MC
051002         1965/11/04          0.094          MC
051002         1965/11/05          0.088          MC
051002         1965/11/06          0.087          MC
051002         1965/11/07          0.085          MC
051002         1965/11/08          0.082          MC
051002         1965/11/09          0.085          MC
051002         1965/11/10          0.076          MC
051002         1965/11/11          0.074          MC
051002         1965/11/12          0.074          MC
051002         1965/11/13          0.076          MC
051002         1965/11/14          0.082          MC
051002         1965/11/15          0.120          MC
051002         1965/11/16          0.083          MC
051002         1965/11/17          0.086          MC
051002         1965/11/18          0.086          MC
051002         1965/11/19          0.082          MC
051002         1965/11/20          0.076          MC
051002         1965/11/21          0.074          MC
051002         1965/11/22          0.074          MC
051002         1965/11/23          0.076          MC
051002         1965/11/24          0.076          MC
051002         1965/11/25          0.076          MC
051002         1965/11/26          0.076          MC
051002         1965/11/27          0.065          MC
051002         1965/11/28          0.057          MC
051002         1965/11/29          0.057          MC
051002         1965/11/30          0.057          MC
051002         1965/12/01          0.057          MC
051002         1965/12/02          0.057          MC
051002         1965/12/03          0.059          MC
051002         1965/12/04          0.059          MC
051002         1965/12/05          0.059          MC
051002         1965/12/06          0.059          MC
051002         1965/12/07          0.059          MC
051002         1965/12/08          0.059          MC
051002         1965/12/09          0.059          MC
051002         1965/12/10          0.062          MC
051002         1965/12/11          0.062          MC
051002         1965/12/12          0.091          MC
051002         1965/12/13          0.076          MC
051002         1965/12/14          0.065          MC
051002         1965/12/15          0.062          MC
051002         1965/12/16          0.059          MC
051002         1965/12/17          0.059          MC
051002         1965/12/18          0.059          MC
051002         1965/12/19          0.059          MC
051002         1965/12/20          0.059          MC
051002         1965/12/21          0.059          MC
051002         1965/12/22          0.059          MC
051002         1965/12/23          0.059          MC
051002         1965/12/24          0.059          MC
051002         1965/12/25          0.057          MC
051002         1965/12/26          0.057          MC
051002         1965/12/27          0.057          MC
051002         1965/12/28          0.057          MC
051002         1965/12/29          0.057          MC
051002         1965/12/30          0.054          MC
051002         1965/12/31          0.054          MC
051002         1966/01/01          0.081          MC
051002         1966/01/02          0.058          MC
051002         1966/01/03          0.050          MC
051002         1966/01/04          0.047          R
051002         1966/01/05          0.044          R
051002         1966/01/06          0.042          R
051002         1966/01/07          0.039          R
051002         1966/01/08          0.037          R
051002         1966/01/09          0.036          R
051002         1966/01/10          0.034          R
051002         1966/01/11          0.033          R
051002         1966/01/12          0.032          R
051002         1966/01/13          0.031          R
051002         1966/01/14          0.030          R
051002         1966/01/15          0.030          R
051002         1966/01/16          0.029          R
051002         1966/01/17          0.033          R
051002         1966/01/18          0.044          R
051002         1966/01/19          0.047          R
051002         1966/01/20          0.044          R
051002         1966/01/21          0.040          R
051002         1966/01/22          0.037          R
051002         1966/01/23          0.035          R
051002         1966/01/24          0.042          R
051002         1966/01/25          0.042          R
051002         1966/01/26          0.040          R
051002         1966/01/27          0.037          R
051002         1966/01/28          0.035          R
051002         1966/01/29          0.034          R
051002         1966/01/30          0.032          R
051002         1966/01/31          0.031          R
051002         1966/02/01          0.033          R
051002         1966/02/02          0.039          R
051002         1966/02/03          0.039          R
051002         1966/02/04          0.039          R
051002         1966/02/05          0.037          R
051002         1966/02/06          0.035          R
051002         1966/02/07          0.033          R
051002         1966/02/08          0.031          R
051002         1966/02/09          0.029          R
051002         1966/02/10          0.032          R
051002         1966/02/11          0.066          R
051002         1966/02/12          0.071          R
051002         1966/02/13          0.071          R
051002         1966/02/14          0.071          R
051002         1966/02/15          0.040          R
051002         1966/02/16          0.033          R
051002         1966/02/17          0.031          R
051002         1966/02/18          0.029          R
051002         1966/02/19          0.027          R
051002         1966/02/20          0.026          R
051002         1966/02/21          0.025          R
051002         1966/02/22          0.024          R
051002         1966/02/23          0.024          R
051002         1966/02/24          0.024          R
051002         1966/02/25          0.029          R
051002         1966/02/26          0.042          R
051002         1966/02/27          0.044          R
051002         1966/02/28          0.043          R
051002         1966/03/01          0.043          R
051002         1966/03/02          0.043          R
051002         1966/03/03          0.041          R
051002         1966/03/04          0.032          R
051002         1966/03/05          0.032          R
051002         1966/03/06          0.032          R
051002         1966/03/07          0.032          R
051002         1966/03/08          0.030          R
051002         1966/03/09          0.030          R
051002         1966/03/10          0.031          R
051002         1966/03/11          0.030          R
