Ministère du Développement durable, de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2015-05-03, préliminaires par la suite
Station:        021407         Sainte-Anne - à 9,7 km en amont du pont-route 132
Bassin versant: 772 km²        Régime: Naturel
Coordonnées:    (NAD83) 49° 2' 37" // -66° 28' 33"
Date de création du fichier: 2016-02-14 00:00
Particularité(s):
-
-
-
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
MC: La donnée représente un débit moyen converti.
MJ: La donnée est une moyenne journalière.
P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
S:  La donnée est saisie manuellement.
Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.
Station        Date                Débit (m³/s)   Remarque
021407         1973/06/20          20.60          J
021407         1973/06/21          20.90          MC
021407         1973/06/22          19.90          MC
021407         1973/06/23          18.50          MC
021407         1973/06/24          18.80          MC
021407         1973/06/25          18.70          MC
021407         1973/06/26          20.50          MC
021407         1973/06/27          18.30          MC
021407         1973/06/28          16.20          MC
021407         1973/06/29          18.20          MC
021407         1973/06/30          28.90          MC
021407         1973/07/01          24.00          MC
021407         1973/07/02          22.10          MC
021407         1973/07/03          27.20          MC
021407         1973/07/04          31.10          MC
021407         1973/07/05          31.10          MC
021407         1973/07/06          58.00          MC
021407         1973/07/07          50.10          MC
021407         1973/07/08          54.90          MC
021407         1973/07/09          50.70          MC
021407         1973/07/10          43.60          MC
021407         1973/07/11          38.80          MC
021407         1973/07/12          34.30          MC
021407         1973/07/13          34.00          MC
021407         1973/07/14          31.70          MC
021407         1973/07/15          32.80          MC
021407         1973/07/16          28.00          MC
021407         1973/07/17          24.10          MC
021407         1973/07/18          21.40          MC
021407         1973/07/19          19.10          MC
021407         1973/07/20          17.60          MC
021407         1973/07/21          17.10          MC
021407         1973/07/22          14.40          MC
021407         1973/07/23          12.70          MC
021407         1973/07/24          11.90          MC
021407         1973/07/25          11.30          MC
021407         1973/07/26          10.60          MC
021407         1973/07/27          11.30          MC
021407         1973/07/28          10.90          MC
021407         1973/07/29          10.40          MC
021407         1973/07/30          12.50          MC
021407         1973/07/31          12.40          MC
021407         1973/08/01          10.60          MC
021407         1973/08/02          10.50          MC
021407         1973/08/03          41.10          MC
021407         1973/08/04          36.50          MC
021407         1973/08/05          27.80          MC
021407         1973/08/06          24.70          MC
021407         1973/08/07          19.50          J
021407         1973/08/08          24.70          MC
021407         1973/08/09          32.30          MC
021407         1973/08/10          25.80          MC
021407         1973/08/11          23.40          MC
021407         1973/08/12          22.40          MC
021407         1973/08/13          21.80          MC
021407         1973/08/14          19.30          MC
021407         1973/08/15          16.80          MC
021407         1973/08/16          25.50          MC
021407         1973/08/17          26.70          MC
021407         1973/08/18          21.20          MC
021407         1973/08/19          18.00          MC
021407         1973/08/20          15.90          MC
021407         1973/08/21          14.10          MC
021407         1973/08/22          13.00          MC
021407         1973/08/23          16.30          MC
021407         1973/08/24          14.30          MC
021407         1973/08/25          13.60          MC
021407         1973/08/26          17.60          MC
021407         1973/08/27          14.90          MC
021407         1973/08/28          13.60          MC
021407         1973/08/29          12.50          MC
021407         1973/08/30          11.40          MC
021407         1973/08/31          10.70          MC
021407         1973/09/01          10.20          MC
021407         1973/09/02          9.710          MC
021407         1973/09/03          9.570          MC
021407         1973/09/04          9.230          MC
021407         1973/09/05          8.860          MC
021407         1973/09/06          8.860          MC
021407         1973/09/07          13.40          MC
021407         1973/09/08          11.80          MC
021407         1973/09/09          14.10          MC
021407         1973/09/10          17.70          MC
021407         1973/09/11          15.20          MC
021407         1973/09/12          16.40          MC
021407         1973/09/13          15.50          MC
021407         1973/09/14          15.00          MC
021407         1973/09/15          13.40          MC
021407         1973/09/16          12.40          J
021407         1973/09/17          12.20          Z
021407         1973/09/18          11.70          Z
021407         1973/09/19          13.30          Z
021407         1973/09/20          17.00          Z
021407         1973/09/21          16.10          Z
021407         1973/09/22          14.30          Z
021407         1973/09/23          12.00          Z
021407         1973/09/24          10.70          Z
021407         1973/09/25          10.40          Z
021407         1973/09/26          10.20          Z
021407         1973/09/27          10.70          Z
021407         1973/09/28          11.30          Z
021407         1973/09/29          15.50          Z
021407         1973/09/30          19.70          Z
021407         1973/10/01          17.70          Z
021407         1973/10/02          14.80          Z
021407         1973/10/03          13.30          Z
021407         1973/10/04          12.20          Z
021407         1973/10/05          11.90          Z
021407         1973/10/06          22.50          Z
021407         1973/10/07          40.20          Z
021407         1973/10/08          43.90          Z
021407         1973/10/09          37.90          Z
021407         1973/10/10          33.70          Z
021407         1973/10/11          30.30          Z
021407         1973/10/12          28.30          Z
021407         1973/10/13          29.20          Z
021407         1973/10/14          51.30          Z
021407         1973/10/15          70.20          Z
021407         1973/10/16          60.90          Z
021407         1973/10/17          48.70          Z
021407         1973/10/18          41.60          Z
021407         1973/10/19          36.50          Z
021407         1973/10/20          32.80          Z
021407         1973/10/21          31.10          Z
021407         1973/10/22          28.30          Z
021407         1973/10/23          25.30          MC
021407         1973/10/24          25.60          MC
021407         1973/10/25          23.10          MC
021407         1973/10/26          21.50          MC
021407         1973/10/27          21.10          MC
021407         1973/10/28          19.40          MC
021407         1973/10/29          17.30          Z
021407         1973/10/30          16.30          Z
021407         1973/10/31          16.10          Z
021407         1973/11/01          21.30          Z
021407         1973/11/02          31.10          Z
021407         1973/11/03          35.10          Z
021407         1973/11/04          37.10          Z
021407         1973/11/05          32.80          Z
021407         1973/11/06          28.90          Z
021407         1973/11/07          26.40          Z
021407         1973/11/08          24.60          Z
021407         1973/11/09          22.60          Z
021407         1973/11/10          21.40          Z
021407         1973/11/11          19.40          Z
021407         1973/11/12          17.40          Z
021407         1973/11/13          16.30          Z
021407         1973/11/14          15.90          Z
021407         1973/11/15          14.70          Z
021407         1973/11/16          13.90          Z
021407         1973/11/17          13.20          Z
021407         1973/11/18          12.90          Z
021407         1973/11/19          12.60          Z
021407         1973/11/20          12.10          Z
021407         1973/11/21          10.80          Z
021407         1973/11/22          10.20          Z
021407         1973/11/23          10.10          Z
021407         1973/11/24          10.20          Z
021407         1973/11/25          9.510          Z
021407         1973/11/26          9.030          Z
021407         1973/11/27          8.100          Z
021407         1973/11/28          7.310          Z
021407         1973/11/29          9.090          Z
021407         1973/11/30          11.10          Z
021407         1973/12/01          10.90          E
021407         1973/12/02          10.20          E
021407         1973/12/03          9.630          E
021407         1973/12/04          9.630          E
021407         1973/12/05          10.50          E
021407         1973/12/06          14.20          E
021407         1973/12/07          12.50          E
021407         1973/12/08          11.00          E
021407         1973/12/09          11.00          E
021407         1973/12/10          18.40          E
021407         1973/12/11          23.60          MC
021407         1973/12/12          19.80          MC
021407         1973/12/13          15.60          MC
021407         1973/12/14          16.10          MC
021407         1973/12/15          16.50          MC
021407         1973/12/16          14.80          MC
021407         1973/12/17          13.70          MC
021407         1973/12/18          79.90          MC
021407         1973/12/19          74.20          MC
021407         1973/12/20          53.80          MC
021407         1973/12/21          55.50          MC
021407         1973/12/22          191.0          MC
021407         1973/12/23          116.0          MC
021407         1973/12/24          76.70          MC
021407         1973/12/25          62.00          MC
021407         1973/12/26          56.10          MC
021407         1973/12/27          45.30          MC
021407         1973/12/28          40.80          MC
021407         1973/12/29          36.00          MC
021407         1973/12/30          32.30          MC
021407         1973/12/31          27.90          MC
021407         1974/01/01          25.50          R
021407         1974/01/02          22.90          R
021407         1974/01/03          20.70          R
021407         1974/01/04          19.10          R
021407         1974/01/05          17.60          R
021407         1974/01/06          16.40          R
021407         1974/01/07          15.60          R
021407         1974/01/08          14.70          R
021407         1974/01/09          13.90          R
021407         1974/01/10          13.00          R
021407         1974/01/11          12.30          R
021407         1974/01/12          11.60          R
021407         1974/01/13          11.20          R
021407         1974/01/14          10.60          R
021407         1974/01/15          10.00          R
021407         1974/01/16          9.680          R
021407         1974/01/17          9.570          J
021407         1974/01/18          9.230          R
021407         1974/01/19          8.920          R
021407         1974/01/20          8.780          R
021407         1974/01/21          8.690          R
021407         1974/01/22          8.550          R
021407         1974/01/23          8.410          R
021407         1974/01/24          8.160          R
021407         1974/01/25          7.930          R
021407         1974/01/26          7.650          R
021407         1974/01/27          7.420          R
021407         1974/01/28          7.310          R
021407         1974/01/29          7.050          R
021407         1974/01/30          7.020          R
021407         1974/01/31          7.360          R
021407         1974/02/01          7.080          R
021407         1974/02/02          6.850          R
021407         1974/02/03          6.710          R
021407         1974/02/04          6.510          R
021407         1974/02/05          6.310          R
021407         1974/02/06          6.120          R
021407         1974/02/07          5.950          R
021407         1974/02/08          5.750          R
021407         1974/02/09          5.640          R
021407         1974/02/10          5.550          R
021407         1974/02/11          5.380          R
021407         1974/02/12          5.270          R
021407         1974/02/13          5.130          R
021407         1974/02/14          5.010          R
021407         1974/02/15          4.840          R
021407         1974/02/16          4.730          R
021407         1974/02/17          4.620          R
021407         1974/02/18          4.470          R
021407         1974/02/19          4.390          R
021407         1974/02/20          4.280          R
021407         1974/02/21          4.190          R
021407         1974/02/22          4.160          R
021407         1974/02/23          4.050          R
021407         1974/02/24          4.020          R
021407         1974/02/25          3.940          R
021407         1974/02/26          3.910          R
021407         1974/02/27          3.850          R
021407         1974/02/28          3.820          J
021407         1974/03/01          3.600          R
021407         1974/03/02          3.540          R
021407         1974/03/03          3.540          R
021407         1974/03/04          3.540          R
021407         1974/03/05          3.600          R
021407         1974/03/06          3.680          R
021407         1974/03/07          3.770          R
021407         1974/03/08          3.880          R
021407         1974/03/09          4.020          R
021407         1974/03/10          4.190          R
021407         1974/03/11          4.300          R
021407         1974/03/12          4.300          R
021407         1974/03/13          4.250          R
021407         1974/03/14          4.160          R
021407         1974/03/15          4.130          R
021407         1974/03/16          4.130          R
021407         1974/03/17          4.160          R
021407         1974/03/18          4.160          R
021407         1974/03/19          4.160          R
021407         1974/03/20          4.220          R
021407         1974/03/21          4.280          R
021407         1974/03/22          4.390          R
021407         1974/03/23          4.470          R
021407         1974/03/24          4.760          R
021407         1974/03/25          5.100          R
021407         1974/03/26          5.890          R
021407         1974/03/27          6.710          J
021407         1974/03/28          7.080          R
021407         1974/03/29          7.360          R
021407         1974/03/30          7.590          R
021407         1974/03/31          7.790          R
021407         1974/04/01          7.930          R
021407         1974/04/02          8.410          R
021407         1974/04/03          7.760          R
021407         1974/04/04          7.080          R
021407         1974/04/05          7.730          R
021407         1974/04/06          9.260          R
021407         1974/04/07          9.660          R
021407         1974/04/08          9.120          R
021407         1974/04/09          9.120          R
021407         1974/04/10          8.520          MC
021407         1974/04/11          7.820          MC
021407         1974/04/12          7.360          MC
021407         1974/04/13          7.280          MC
021407         1974/04/14          7.480          MC
021407         1974/04/15          7.930          MC
